Nome: SAO PAULO - INTERLAGOS
Codigo Estacao: A771
Latitude: -23.724501
Longitude: -46.677501
Altitude: 771
Situacao: Operante
Data Inicial: 2018-03-13
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-13;null;null;null;null;null;null;null;null;null;null;
2018-03-14;null;null;null;null;null;null;null;null;null;null;
2018-03-15;null;null;null;null;null;null;null;51;9,1;null;
2018-03-16;,2;926,4;20;27,8;24,2;21,2;78,1;62;9,1;1,8;
2018-03-17;0;926,6;19,9;26,9;22,8;20,4;84,4;63;8,9;1,9;
2018-03-18;0;924,6;19,5;30,8;22,4;18,6;84,5;44;8,7;1,4;
2018-03-19;0;923,8;20,1;33,1;24,1;20,8;79,7;46;12,2;1,2;
2018-03-20;,2;924,9;21,1;29;23,5;22;86,7;64;8,6;1,5;
2018-03-21;8,8;925,9;19,1;25,7;21,3;19,4;87,3;64;8,3;1,8;
2018-03-22;,8;926,6;18,9;23,3;20,3;19,1;91,5;79;7,8;2,3;
2018-03-23;0;926,8;19,5;28,3;22,4;19,7;83,9;61;8,2;2,2;
2018-03-24;,2;927,1;19,6;30,8;23,7;19,5;79,8;45;7,7;1,6;
2018-03-25;0;926,9;18,2;31,4;24,9;20,8;68,5;42;7,7;1,5;
2018-03-26;0;928,1;19,4;29,8;22,5;21,4;83,4;52;8,5;1,4;
2018-03-27;32,8;929,6;19,2;28,5;21,7;19,4;86,5;50;7,6;1,4;
2018-03-28;4,2;929,3;18,8;28,1;21,3;18,2;87;54;8,6;1,3;
2018-03-29;25,4;928,7;19,5;27,1;21,5;18,4;88,8;55;8,6;1,4;
2018-03-30;3,4;927,4;18,7;28,1;21,6;19,3;85,1;52;8,8;1,5;
2018-03-31;41,8;926;18,9;28,4;22,2;19;83,1;50;7,9;1,5;
2018-04-01;17;924,4;18,7;29,2;22,8;19,1;78,9;51;9,4;1,6;
2018-04-02;1;923,8;18,6;26,8;22,1;19,1;81,6;61;9,7;2;
2018-04-03;,2;923,1;19,2;25,2;21,5;19,5;87,1;67;6,6;1,4;
2018-04-04;11,8;924,4;17,7;25,2;20,4;17,8;85,8;56;8;1,6;
2018-04-05;0;924,8;17,6;26,4;20,5;17,5;84,2;53;8,5;1,6;
2018-04-06;0;926,2;17,9;24,9;20,8;18,2;84,2;62;8,5;2,2;
2018-04-07;0;927,9;17,8;25,8;20,7;17;84,6;62;8,9;1,8;
2018-04-08;0;929,3;18,2;26,2;21,1;17,6;84,4;59;8,8;1,9;
2018-04-09;0;929,7;17,8;25,9;20,9;17,9;83,4;59;9,9;1,9;
2018-04-10;0;930,3;17,5;25,9;20,7;17,2;82,9;54;9,4;2;
2018-04-11;0;930,4;17,2;25,6;20,6;17,7;82,3;55;8,9;2;
2018-04-12;0;930,3;17,1;28,1;21,3;17,8;78,6;39;6,8;1,7;
2018-04-13;0;931;16,8;28,9;22,4;18,1;72,8;42;8,1;1,6;
2018-04-14;0;933,6;17,8;25,2;20,4;18;85,2;63;8;2,5;
2018-04-15;17,2;934,5;17,7;19,8;18,6;18,4;94,5;90;11;2,8;
2018-04-16;36;934,3;15,8;19,9;17,7;16,4;88,5;71;11,8;3,7;
2018-04-17;0;934,3;14,9;21,4;17,9;16;82,5;66;9,6;2,8;
2018-04-18;0;934,6;13,8;23,9;17,9;14,2;78,4;44;9,6;1,9;
2018-04-19;0;932,8;13,3;26,6;18,4;13,8;75,8;35;7,4;1,3;
2018-04-20;0;930,9;12,3;24,9;18,4;13,8;72,4;31;6,9;1,2;
2018-04-21;0;929,6;14;22,8;17,1;12,3;83,7;54;9,1;1,7;
2018-04-22;0;929,4;15,7;24,6;18,9;15,6;82,8;53;8,3;1,9;
2018-04-23;0;930,4;16,3;24,9;19,5;16;83;54;8,4;1,7;
2018-04-24;0;931,5;16,8;25,2;19,6;16,1;84,7;54;8,1;1,6;
2018-04-25;0;931,9;17,1;25,5;19,9;16,1;84,7;57;8,1;1,8;
2018-04-26;0;930,9;17,6;25,7;20,1;17,3;86,5;62;9,4;1,6;
2018-04-27;0;930,9;17,8;26,1;21,1;18;82,3;56;7,8;1,8;
2018-04-28;0;931,2;18;26,4;21,2;17,8;83;59;6,6;1,6;
2018-04-29;0;930,6;17,2;27;21;18,1;80,5;44;6,7;1,7;
2018-04-30;0;929,6;15,3;29,5;22,1;17;68,6;34;5,8;1,2;
2018-05-01;0;930,9;17,6;25,8;20,3;17,1;84,9;60;9,2;1,4;
2018-05-02;0;932;17,3;24,6;20,2;17;84,1;61;8,7;1,9;
2018-05-03;0;930,6;16,9;28,4;21,7;18,1;76,6;44;6,5;1,6;
2018-05-04;0;930;17,3;28,6;22,1;18,6;77,3;36;6,7;1,2;
2018-05-05;0;931;17,4;28,2;21,2;17,4;80,8;43;7,4;1,4;
2018-05-06;0;932,9;17;23,5;19,9;17,4;84,2;64;7,9;2,3;
2018-05-07;,6;933,4;16,9;23;19,4;18,1;85,8;67;8,3;2,6;
2018-05-08;,2;933;16,1;22,1;18,3;17;87,3;69;9,5;2,7;
2018-05-09;0;932,8;14,8;21,8;17,8;14,6;83,1;61;9,3;2,3;
2018-05-10;0;930,6;14,9;26,2;19,2;15,7;78,3;41;6,5;1,4;
2018-05-11;0;928,5;14,4;28,1;20,9;15,7;69,2;42;9,6;1,5;
2018-05-12;0;926,8;15,2;24,7;19,3;17,1;77,9;55;6,8;1,6;
2018-05-13;,6;929,7;14,6;20,3;17,4;15,5;84,2;65;7,6;2,5;
2018-05-14;0;930,6;15;22,8;17,6;14,6;85,4;63;8;2,3;
2018-05-15;0;928,8;16;23,3;19,6;17;80,5;59;10;1,6;
2018-05-16;0;927,9;16,4;27,5;19,4;16;84,1;48;8;1,6;
2018-05-17;0;929,5;15,9;21,8;18,5;16,1;85,4;67;8,9;2,4;
2018-05-18;0;926,9;16;28;21,3;17;73,7;45;9,6;1,9;
2018-05-19;1,8;922,4;15,5;23,5;19,7;18,8;77,1;64;11,6;2,2;
2018-05-20;10,8;924,8;7,2;18,5;13,8;9,1;65,4;45;13,3;2,7;
2018-05-21;0;928,3;7,7;20,8;13,2;7,9;72,5;34;6,6;1,2;
2018-05-22;0;929,9;10,9;23,9;14,7;10,8;81,6;30;7,5;1,1;
2018-05-23;,2;932,4;12,2;19,7;14,6;10,9;86,5;60;8,6;1,6;
2018-05-24;0;934,7;12,8;19,9;15,8;12,9;82,8;64;7,7;2,2;
2018-05-25;0;933,9;14,2;19,9;16,5;14,8;86;69;7,5;1,9;
2018-05-26;0;933,2;14,2;21,7;17;14,4;84,4;59;7,9;1,9;
2018-05-27;0;934,5;13,8;21,8;16,7;13,6;84,2;55;8,3;1,7;
2018-05-28;0;935,2;12,9;22,4;16,1;12,2;82,3;45;8,1;1,9;
2018-05-29;0;934,7;12,3;22,6;16,8;13,4;77,4;36;7;1,8;
2018-05-30;0;933,1;11,8;22,9;17,3;13,7;74;30;5,6;1,3;
2018-05-31;,4;929,6;11,9;24,9;17,1;11,9;75,3;33;6,5;1,2;
2018-06-01;0;927,9;11,6;25,9;19,3;15,2;65,6;32;8,1;1,2;
2018-06-02;0;929;11,4;25,5;19,9;15,7;58,8;39;8,6;1,4;
2018-06-03;,8;933,8;14,4;21,1;15,7;15,4;92,2;65;9,2;2,7;
2018-06-04;,8;935,3;12,5;16,2;14;12,6;91,1;79;7,7;2,4;
2018-06-05;,8;929,8;13,6;18;15,4;13,8;89,1;80;7,1;1,4;
2018-06-06;,6;925,7;14,5;19,1;16,1;15;90,2;80;7,4;1,6;
