Nome: SAO JOSE DO XINGU
Codigo Estacao: A942
Latitude: -10.48416666
Longitude: -52.37249999
Altitude: 300
Situacao: Pane
Data Inicial: 2019-02-18
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-02-18;null;null;null;null;null;null;null;null;null;null;
2019-02-19;null;null;null;null;null;null;null;43;5,1;null;
2019-02-20;null;978,4;22,3;28,1;23,5;21,1;92,8;72;11,8;1,7;
2019-02-21;16,6;977,7;21,9;33,3;26,3;20,7;79,7;45;4,1;,9;
2019-02-22;0;978,5;22,8;31,8;25,2;23,4;87,6;57;10,1;1,5;
2019-02-23;8,6;978;21,6;32;24,8;20,5;84,4;50;4,4;1;
2019-02-24;,4;976,7;22,2;32,8;26,5;21,9;78,8;51;10,7;1,7;
2019-02-25;0;977,4;22;29;23,7;22,3;90,8;66;8,1;1,5;
2019-02-26;20,2;978,5;21,5;31,2;25,1;21,6;81,8;55;5,3;1,4;
2019-02-27;2,4;978,8;21,8;28,3;24,6;22,1;84,7;67;10,7;1,7;
2019-02-28;5,8;979,8;21,9;25,5;23,6;20,7;90,3;77;11,1;1,3;
2019-03-01;2;980;21,3;30,3;24,4;20,8;84;57;10,4;1,7;
2019-03-02;0;979,4;21,3;32,4;25,9;22;77,9;49;6,1;1,6;
2019-03-03;39,8;978,6;22,2;26,1;23,8;22,5;90,6;77;5,6;1,4;
2019-03-04;12,2;978,1;22,3;31,1;25,5;21,7;83,9;57;6,5;1,3;
2019-03-05;,2;979,5;22,1;30;25,5;22,3;82,7;58;6,2;1,7;
2019-03-06;59,4;980,4;21,2;30,3;24,5;21,2;83,7;56;10,5;1,3;
2019-03-07;1,8;979,8;22,5;30,1;25,2;23;86,1;61;9,6;1,2;
2019-03-08;1,2;978,6;22,9;32,7;26;22,5;84,4;54;6,5;1,1;
2019-03-09;0;978,3;22,2;25,8;23,6;22,4;92,3;78;10,9;1,2;
2019-03-10;8,8;977,9;21,7;32;24,7;21,1;85;51;10,3;1,4;
2019-03-11;4,2;976,9;21,9;32,5;24,8;20,7;85,3;46;9,7;1,1;
2019-03-12;5,2;977,7;22;29,8;23,7;22,4;90,4;64;9,3;1,5;
2019-03-13;5,2;979,2;21,2;28,4;23,4;20,9;88,8;64;5,1;1,3;
2019-03-14;0;978,4;22,1;32,1;25,6;21,9;82,8;54;4,6;1;
2019-03-15;,2;976,9;22,9;34,2;27,7;22,3;77,5;47;4,6;1;
2019-03-16;0;976,9;22,8;31,8;25,7;22,7;85;54;12,4;2;
2019-03-17;3;978;22,1;31,2;24,8;21,1;86;59;7,1;1,2;
2019-03-18;,2;977,3;22,7;33,3;27;21,6;79,2;53;4,4;1;
2019-03-19;0;976,2;24;32,4;27,2;23,2;83,6;60;5,7;1,3;
2019-03-20;0;976,6;22,9;32,7;26,1;22,9;83,8;52;8,3;2;
2019-03-21;9,8;977;23,2;30,7;25,3;22,7;88,7;67;9,2;1,3;
2019-03-22;,2;977,3;23,3;29,9;26;22,9;86;63;5,3;1,2;
2019-03-23;27,6;978,4;22,9;26,6;23,9;22;94,3;85;7,1;1;
2019-03-24;9,6;977,8;23,5;30,9;25,4;22,3;89,8;59;6,2;1,6;
2019-03-25;12,2;976,6;23,3;30,8;24,9;22,9;91,1;65;9,1;1,6;
2019-03-26;15,4;976,3;22,9;30,7;25;22,9;88,6;65;6,6;2;
2019-03-27;,2;977,9;23,1;31,3;25,8;22,9;86;61;7,3;1,6;
2019-03-28;0;978,6;23,3;30,4;25,3;23,4;89,4;64;8,6;1;
2019-03-29;21,6;978,6;23,6;26,6;24,6;23,2;94;83;4,3;,9;
2019-03-30;8,4;978,9;23,4;30,1;25,1;22,3;90,9;66;6,2;1;
2019-03-31;1,6;978;22,8;33,2;25,7;21,8;86;53;11,2;1,2;
2019-04-01;3,8;977,2;22,8;33;26,6;21,9;81,4;52;4,2;1;
2019-04-02;,2;977,2;23,6;33,6;26,9;23,9;83,7;52;8,9;1,1;
2019-04-03;18,6;977;23,5;31,8;26,7;23,7;84;56;7,1;1,1;
2019-04-04;10,4;976,5;22,9;31,3;25,7;22,8;85,5;59;7,6;1,6;
2019-04-05;22,2;977,8;23,4;30,8;25,5;24,1;88,8;63;14,9;1,7;
2019-04-06;2,2;978,7;22,3;30;25;21,3;86;61;4,5;1;
2019-04-07;0;978,8;23,4;31,6;25,9;22,9;87;57;12,6;,9;
2019-04-08;12;978,7;22,5;30,5;25,2;21,7;86,3;58;3,8;,9;
2019-04-09;0;977,6;23,6;30,2;25,5;24;89,7;64;6,6;1;
2019-04-10;0;977,8;23;28,4;24,6;23,3;91;70;12,5;1,9;
2019-04-11;2,8;978,6;22,2;29,5;24,7;22,2;87;62;5,6;1;
2019-04-12;0;977,6;22,8;32;26,5;22,1;81,5;53;5,3;1;
2019-04-13;30,2;977,5;23,1;29,2;25,5;23,3;87,6;61;6,3;1,6;
2019-04-14;,2;977,8;22,8;29,9;25;22,3;88,2;62;4,5;1;
2019-04-15;2,2;977,8;23,2;31,2;25,3;22,7;88,8;59;11,2;,9;
2019-04-16;1,6;978,3;22,9;31,7;26;22,6;84,2;56;6,7;,8;
2019-04-17;,2;977,3;23,1;32;26,2;22,4;84;58;4,5;,8;
2019-04-18;0;976,8;23,1;32,7;26,6;22,1;83;51;4,8;,9;
2019-04-19;0;977,3;23,2;32,8;26,4;23,1;84,2;53;8,3;,9;
2019-04-20;0;977,8;22,9;32,4;26,6;22,8;82,1;51;6,8;1;
2019-04-21;5,2;977,5;22,6;28,8;24,6;21,1;88,6;69;11,3;1,2;
2019-04-22;1,4;976,7;22,9;32,3;26,1;21,1;84,3;51;4,6;,9;
2019-04-23;0;978;23,2;29,3;25,4;22,7;88,5;66;4,6;,8;
2019-04-24;7,2;978,9;22,9;32;25,8;21,1;85,4;57;7,4;,9;
2019-04-25;0;978,6;23,4;32,2;26,7;22,1;83,1;59;5,6;1;
2019-04-26;0;978,4;23,4;32,9;27,4;23,8;80;54;4,5;1;
2019-04-27;0;978;22,6;33,2;27,4;22,6;77,4;48;4,6;,8;
2019-04-28;0;977,4;22,4;33,7;27,1;22;77,8;47;5,6;,8;
2019-04-29;0;976,9;22,8;32,5;26,6;22,4;81,6;52;6,9;,9;
2019-04-30;0;977,6;23,3;33;26,4;22,5;84,7;53;7,5;1,1;
2019-05-01;,2;978,3;23,2;30,7;25;23,4;90,6;63;10,1;,9;
2019-05-02;1,8;977,6;22,9;32,2;26,2;21,5;83,9;57;3,6;,8;
2019-05-03;0;977,4;23,4;32,6;26,7;22,8;83,4;57;11,2;1;
2019-05-04;15,6;977,9;22,9;31,7;25,8;22,1;85,5;59;11;1,2;
2019-05-05;0;977,8;23,2;33;26,9;22,4;82,1;53;5;,8;
2019-05-06;0;978,6;23;33,5;27,5;22,2;77,9;49;7,5;,9;
2019-05-07;2;978;22,9;33;27,5;22,7;77,9;51;8,4;1;
2019-05-08;0;977,4;22,8;33,7;27,6;22,4;77,5;48;5,1;,7;
2019-05-09;0;976,6;22,6;33,5;27,2;21,9;78,4;49;4,2;,9;
2019-05-10;0;975,7;22,6;33,8;27,5;22,4;76,9;49;4,6;,9;
2019-05-11;0;975,9;22,8;34,4;27,7;23,1;76,7;46;4,4;,9;
2019-05-12;0;977,5;22,6;33,9;27,7;22,7;75,7;47;5,6;1;
2019-05-13;0;978,7;23;32,7;27,2;22;79,4;53;4,6;,9;
2019-05-14;0;978,4;22,6;33,2;26,9;22,9;78,9;50;5,6;1,3;
2019-05-15;,2;978,3;22,2;30,7;24,7;22;87;61;7,3;1,6;
2019-05-16;1,2;979,8;21,6;25,3;23,3;22;90,3;76;5,6;1,1;
2019-05-17;1;978,8;21,9;30,5;25,2;22,2;83,6;55;4,7;1;
2019-05-18;,2;978,1;21,9;31,9;25,8;20,7;80,9;53;4,9;1,1;
2019-05-19;0;978;21,7;32,7;26,7;22,3;75,8;50;6,9;1,2;
2019-05-20;0;977,7;20,9;33;26,6;21,1;73,3;47;5,7;1,1;
2019-05-21;0;977,7;22,5;33,5;26,9;22,8;78,3;50;4,8;1,1;
2019-05-22;0;977,9;22,5;33,9;27,4;22,5;76,8;48;5,5;1;
2019-05-23;0;977,6;22,1;34,2;27,1;21,3;76,3;46;4,9;,9;
2019-05-24;0;978,1;22,7;30,6;25,5;23,3;85,4;60;6;1;
2019-05-25;,4;978,3;22,6;31,4;26,2;22,5;81,9;54;5;1;
2019-05-26;0;978;22,1;33,2;26,7;21,6;78,1;49;5,4;,9;
2019-05-27;0;977,7;21,8;34,1;27,3;22,3;74,4;45;6,9;1,1;
2019-05-28;,2;977,6;21,5;34,2;27,3;22,1;73,8;39;6,7;1,1;
2019-05-29;0;978,3;19,4;34,1;26,7;20,4;68,7;34;7,5;1,2;
2019-05-30;0;977,8;19,4;34;26,1;19,1;69,8;38;5,7;1;
2019-05-31;0;977,7;20,1;33,7;26,3;20,2;71,9;43;5,5;,9;
2019-06-01;0;977,7;20,5;34,6;26,9;20,3;71;38;5,4;1;
2019-06-02;0;977,9;20,3;34,8;27,3;21,1;69,7;35;5,4;1;
2019-06-03;0;979,8;20,2;34,7;27,4;20,7;68,4;37;5,4;1,1;
2019-06-04;0;980,4;19,7;34,6;26,8;20,2;67,8;39;6,1;1,1;
2019-06-05;0;979,6;19,9;34,5;26,6;21,3;69;38;7,6;1,4;
2019-06-06;0;979;19,6;33,2;25,8;20;71,8;39;7;1,4;
2019-06-07;0;979,2;18;32,9;25,1;18,3;68,8;35;6,6;1,3;
2019-06-08;0;980,2;18,7;32;25;18,1;70,8;43;7,2;1,4;
2019-06-09;0;980,4;18,5;33,7;25,7;19,2;68,2;35;6,5;1,3;
2019-06-10;0;980,2;18,1;34,2;25,8;18;66,7;31;7,9;1,4;
2019-06-11;0;980;18,1;33,8;25,5;18,5;66,9;38;8,6;1,6;
2019-06-12;0;979,9;18,2;32,7;25,5;19,9;66,8;38;8;1,5;
2019-06-13;0;980,3;18,6;33,5;25,4;18,7;68,6;41;7,8;1,3;
2019-06-14;0;980,6;18,5;34,1;25,9;18,5;67,4;37;8;1,4;
2019-06-15;0;980,3;18,3;33,7;25,9;18,5;66,8;37;8,4;1,6;
2019-06-16;0;981,5;16,1;33,3;24,8;17,2;63,2;29;8,1;1,7;
2019-06-17;0;981,2;15,7;32,8;24,4;16,9;62,3;32;8;1,5;
2019-06-18;0;980,5;16,7;33,8;25;16,6;63,6;35;6,5;1,3;
2019-06-19;0;981;18,6;33,8;26,1;18,4;65,8;40;7;1,3;
2019-06-20;0;981,3;18,5;34,6;26,5;19,8;65,6;33;7,6;1,5;
2019-06-21;0;981,4;16,6;34,4;25,7;18,1;61,8;30;7,9;1,5;
